Date, Open, High, Low, Close
19/09/2018,6301,6511,6106,6410
21/10/2019,8243,8340,8160,8202
29/08/2020,11511,11582,11426,11530
21/08/2022,20986,21577,20787,21514
18/12/2020,22792,23280,22361,22794
15/01/2021,39326,39676,34406,35594
24/12/2023,43732,43952,43447,43530
14/08/2015,265,267,262,267
07/07/2015,275,275,264,267
04/01/2015,295,295,256,267
26/01/2015,248,311,246,267
31/05/2016,539,546,520,523
13/12/2016,777,789,765,779
22/09/2017,3635,3755,3514,3595
14/03/2019,3854,3899,3788,3851
07/04/2019,5160,5177,4918,5131
27/03/2020,6675,6867,6591,6667
07/06/2018,7528,7746,7511,7691
01/05/2018,9306,9316,8830,8971
16/02/2018,9890,10303,9728,9995
17/09/2019,10126,10340,10122,10251
15/10/2020,11350,11540,11264,11531
15/12/2022,17774,17874,17327,17419
07/10/2022,20014,20068,19339,19467
12/06/2022,28571,28640,26878,27403
30/07/2023,29342,29443,29123,29195
10/04/2023,28151,29314,28115,29195
18/11/2023,36501,36841,36226,36619
07/12/2021,48889,51960,48878,50443
12/10/2021,57500,57647,55218,55307
14/10/2021,57281,58519,56660,57867
22/03/2015,261,269,259,268
17/10/2015,266,275,260,268
16/12/2016,778,782,774,780
29/06/2017,2559,2595,2509,2572
04/08/2017,2790,2876,2766,2828
02/09/2017,4871,4978,4500,4620
04/10/2019,8160,8288,8016,8204
28/06/2022,20836,21176,20206,20236
23/08/2022,21045,21664,20902,21516
09/09/2023,25883,25926,25804,25868
14/05/2023,26862,27194,26613,26892
27/03/2021,53850,56258,53850,55820
12/09/2024,57645,58513,57243,58380
21/10/2015,271,272,264,269
12/08/2015,266,272,266,269
12/01/2015,265,273,264,269
05/03/2015,273,275,263,269
08/08/2015,280,280,267,269
12/03/2019,3840,3875,3800,3853
04/11/2018,6333,6462,6318,6413
01/06/2018,7538,7616,7354,7437
13/07/2020,9221,9339,9199,9229
14/11/2024,89801,91773,87563,87565
01/02/2023,23101,23650,22800,23565
14/06/2023,25892,26064,25786,25869
18/06/2021,37721,38199,35160,35341
11/04/2021,59539,60642,58371,59661
09/07/2015,270,273,266,270
08/07/2015,267,273,264,270
05/07/2015,257,275,257,270
05/01/2015,267,279,258,270
16/02/2017,1015,1042,1013,1038
26/10/2024,66727,67264,65537,67086
11/02/2019,3604,3654,3582,3598
13/03/2019,3853,3871,3830,3854
16/08/2018,6379,6475,6215,6414
31/07/2019,9608,10121,9527,9998
10/10/2022,19471,19523,19120,19214
